Run,Sequential Time,Task-based Time,Block-based Time,Num Threads,N,BS
1,0.008614,2.595753,0.023761,4,1000,10
2,0.010453,2.539603,0.037449,4,1000,10
3,0.010640,3.147950,0.044256,4,1000,10
4,0.011937,3.345844,0.032169,4,1000,10
5,0.020420,3.305960,0.030382,4,1000,10
6,0.011046,3.333377,0.009041,4,1000,20
7,0.011205,3.332645,0.009280,4,1000,20
8,0.013162,3.311140,0.009114,4,1000,20
9,0.010357,3.334938,0.009074,4,1000,20
10,0.012761,3.399079,0.010991,4,1000,20
11,0.010276,3.312678,0.006423,4,1000,30
12,0.009669,3.381280,0.006355,4,1000,30
13,0.019177,3.433831,0.007001,4,1000,30
14,0.012116,3.315930,0.006416,4,1000,30
15,0.010945,3.425015,0.008384,4,1000,30
16,0.010331,3.342315,0.019085,4,1000,40
17,0.010835,3.382027,0.012549,4,1000,40
18,0.010250,3.353073,0.007671,4,1000,40
19,0.012027,3.446670,0.006814,4,1000,40
20,0.012053,3.441285,0.005541,4,1000,40
21,0.011096,3.334024,0.005535,4,1000,50
22,0.010887,3.415022,0.006917,4,1000,50
23,0.011588,3.476844,0.004668,4,1000,50
24,0.010611,3.350724,0.005107,4,1000,50
25,0.010224,3.414877,0.006231,4,1000,50
26,0.010976,3.322856,0.005059,4,1000,50
27,0.011402,3.317606,0.005873,4,1000,50
28,0.011132,3.701581,0.005042,4,1000,50
29,0.011064,3.437406,0.005083,4,1000,50
30,0.010433,3.389189,0.008471,4,1000,50
