N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time,Sequential Deviation,Threadpool Deviation,Rayon Deviation
1000,50,2,1.746250891s,965.034039ms,992.987601ms,0.0406,0.0303,0.0402
1000,50,4,1.746250891s,688.859711ms,688.077767ms,0.0406,0.0424,0.0627
1000,50,8,1.746250891s,685.745149ms,656.976713ms,0.0406,0.0348,0.0493
1000,50,16,1.746250891s,680.346886ms,636.354116ms,0.0406,0.0288,0.0332
1000,100,2,1.746250891s,995.256042ms,999.944135ms,0.0406,0.0395,0.0465
1000,100,4,1.746250891s,727.826337ms,689.118022ms,0.0406,0.0237,0.0575
1000,100,8,1.746250891s,752.780528ms,706.690668ms,0.0406,0.0460,0.0492
1000,100,16,1.746250891s,704.557236ms,684.459685ms,0.0406,0.0732,0.0741
1000,200,2,1.746250891s,943.21476ms,957.540747ms,0.0406,0.0215,0.0322
1000,200,4,1.746250891s,812.079495ms,815.456228ms,0.0406,0.0223,0.0120
1000,200,8,1.746250891s,811.387212ms,826.600969ms,0.0406,0.0196,0.0260
1000,200,16,1.746250891s,843.373719ms,856.090696ms,0.0406,0.0804,0.0628
2000,100,2,6.76929476s,3.761964791s,3.860745053s,0.1827,0.1703,0.2260
2000,100,4,6.76929476s,2.101056231s,2.255915115s,0.1827,0.0562,0.1371
2000,100,8,6.76929476s,2.061493534s,2.18958993s,0.1827,0.0636,0.0921
2000,100,16,6.76929476s,2.078149422s,2.082146406s,0.1827,0.0947,0.0906
2000,200,2,6.76929476s,3.735608788s,3.67927001s,0.1827,0.0817,0.0718
2000,200,4,6.76929476s,2.405445732s,2.382946627s,0.1827,0.0716,0.1333
2000,200,8,6.76929476s,2.312893448s,2.348867123s,0.1827,0.0856,0.0974
2000,200,16,6.76929476s,2.31982381s,2.336697258s,0.1827,0.0858,0.0871
2000,400,2,6.76929476s,3.755297348s,3.762220545s,0.1827,0.0692,0.0839
2000,400,4,6.76929476s,3.288793131s,3.297429679s,0.1827,0.2011,0.1741
2000,400,8,6.76929476s,3.362364972s,3.442439887s,0.1827,0.1189,0.2997
2000,400,16,6.76929476s,3.380964457s,3.428940289s,0.1827,0.2331,0.2319
